,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
13,1416492320,FGR5997,NY,PAS,09/30/2016,21,SDN,NISSA,P,53620,74250,74260,20170303,44.0,44,44,905733,0044,0000,1150A,,BX,F,1224,NELSON AVE,,0,408,F1,,BYBBYBB,1130A,0100P,TAN,0.0,0,-,0,,,,,
14,1413656420,T672371C,NY,PAS,02/04/2017,40,TAXI,TOYOT,P,59630,73470,82230,20170531,73.0,73,73,960758,0073,0000,0525A,,K,F,279,MCDOUGAL ST,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0.0,2015,-,0,,,,,
15,7959486440,GYF2052,NY,PAS,07/07/2016,71,4DSD,VOLKS,T,70407,17390,48890,20170527,120.0,120,120,356557,T303,E,0645P,,R,F,143,N St Austins Pl,,0,408,j6,,,,,GY,,2012,,0,C-PM,71-Insp. Sticker Missing (NYS,,,
16,5093620865,AD80228,AZ,PAS,09/24/2016,7,TK,FORD,V,0,0,0,0,,0,0,0,,,1122A,,QN,,,SO CONDUIT AVE (E/B),@ 89TH ST,0,1111,D,T,,,,,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
17,8480309064,51771JW,NY,COM,01/26/2017,64,VAN,INTER,T,17850,10210,10110,88888888,17.0,17,17,363557,T102,L,0256P,,NY,F,204,E 43rd St,,0,408,C8,,YYYYYYY,,,BROWN,,2007,,0,06,"64-No STD Ex Con/DPL, D/S Dec",,,
18,1416638830,GLP367,NY,PAS,04/30/2017,20,SUBN,DODGE,P,17650,10110,10010,20180304,17.0,17,17,940179,0017,0000,1232A,,NY,O,330,E 33 ST,,0,408,E2,,YYYYYYY,1200A,1159P,BLK,0.0,2009,-,0,,,,,
19,4630524241,HJBP29,FL,PAS,02/03/2017,36,4D,BMW,V,0,0,0,0,,0,0,0,,,1034A,,BK,,,WB LINDEN BLVD @ SCH,ENCK AVE,0,1180,B,T,,,,SIL,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
20,8505131836,87155MA,NY,COM,05/27/2017,38,VAN,CHEVR,T,27050,15350,44890,20171231,1.0,1,1,351949,T105,C,1021A,,NY,F,50,Murray St,,0,408,h1,,Y,1000A,0400P,WH,,2016,,0,023,38-Failure to Display Muni Rec,,,
21,8472853342,HJN6543,NY,PAS,10/04/2016,71,2DSD,LINCO,T,39680,23290,58590,20180915,107.0,107,107,363074,T402,R,0122P,,Q,F,150-34,Coolidge Ave,,0,408,j6,,YYYYYYY,,,RD,,1989,,0,H 42,71A-Insp Sticker Expired (NYS),,,
22,8513520615,77026MG,NY,COM,05/31/2017,14,TRAC,VOLVO,T,15710,35670,35690,20180430,24.0,24,24,352009,T103,E,0721A,,NY,F,730,Columbus Ave,,0,408,c,,YYYYY,0700A,1000A,GREEN,,2016,,0,H,14-No Standing,,,
23,8556155431,HFB9919,NY,PAS,05/26/2017,75,4DSD,DODGE,T,10090,7890,7990,20180412,114.0,114,114,359604,T401,C,0940A,,Q,F,30-87,44th St,,0,408,j5,,YYYYYYY,,,GY,,2013,,0,25-A,75-No Match-Plate/Reg. Sticker,,,
24,8483087236,76822MH,NY,COM,05/19/2017,10,DELV,HIN,T,10810,34490,34510,20170531,14.0,14,14,356484,T106,P,1223P,,NY,F,535,8th Ave,,0,408,b,,YYYYYYY,,,WH,,2012,,0,10,10-No Stopping,,,
25,8513914599,65572JU,NY,COM,06/09/2017,69,VAN,FORD,T,10110,18270,18290,20171231,19.0,19,19,358635,T103,BB,1028A,,NY,F,1237,2nd Ave,,0,408,h1,,YYYYY,1000A,0200P,WH,,2009,,0,09,69-Failure to Disp Muni Recpt,,,
26,8344027755,GUP8589,NY,PAS,12/07/2016,21,SUBN,NISSA,T,67730,14480,14530,20181119,61.0,61,61,362553,T302,I,0950A,,K,F,1802,Ocean Pky,,0,408,d1,,Y,0930A,1100A,SILVE,,2008,,0,03 3,21-No Parking (street clean),,,
27,8040135217,GTV5924,NY,PAS,11/19/2016,38,SUBN,HONDA,T,13610,13610,10510,20181007,13.0,13,13,353435,T102,F,0817A,,NY,F,1165,Broadway,,0,408,h1,,Y,0800A,1200A,WH,,2014,,0,09 6,38-Failure to Display Muni Rec,,,
28,8466021980,GSC6098,NY,PAS,12/27/2016,50,4DSD,NISSA,T,0,0,0,20180706,102.0,102,102,361861,T402,B,0751A,,Q,I,N,95th Ave,0ft E/of 110th St,0,408,e5,,,,,WH,,2009,,0,40 4,50-Crosswalk,,,
29,8357020770,Y56DLT,NJ,PAS,01/20/2017,21,4DSD,CHEVR,T,60810,22280,22390,88888888,113.0,113,113,361320,T803,BB,0148A,,Q,F,153-90,Rockaway Blvd,,0,408,d1,,Y,1200A,0300A,BLACK,,0,,0,F,21-No Parking (street clean),,,
30,7047487591,50741JZ,NY,COM,04/13/2017,38,UTIL,GMC,T,17140,0,0,88888888,115.0,115,115,357759,T401,U,1206P,,Q,I,W,84th St,40ft N/of Roosevelt,0,408,h1,,Y,0900A,0700P,WHITE,,2008,,0,12,38-Failure to Display Muni Rec,,,
31,8122530205,95139JC,NY,COM,01/05/2017,48,DELV,INTER,T,10110,17870,17890,20170430,13.0,13,13,363095,T506,G,0141P,,NY,O,837,2nd Ave,,0,408,e9,,,,,RDW,,1993,,0,06 6,48-Bike Lane,,,
32,1419707358,V97GVE,NJ,PAS,02/18/2017,21,SUBN,ME/BE,S,28830,67780,23030,0,60.0,60,0,589383,KS15,0000,0822A,,K,O,3250,CONEY IS AVE,,0,408,D1,,YYYYYYB,0800A,0830A,BLK,0.0,0,-,0,,,,,
33,8544889610,VVP9002,VA,PAS,06/14/2017,21,4DSD,AUDI,T,5580,6930,7030,20180488,72.0,72,72,355542,T302,M,0820A,,K,F,645,5th Ave,,0,408,d1,,Y,0800A,0830A,RED,,0,,0,J,21-No Parking (street clean),,,
34,7067047705,HFF1432,NY,PAS,09/23/2016,71,SUBN,JEEP,T,45590,17240,17390,20180601,102.0,102,102,362577,T402,B,0849A,,Q,F,8551,Forest Pky,,0,408,j6,,YYYYYYY,,,BL,,2014,,0,32 4,71A-Insp Sticker Expired (NYS),,,
35,4628712840,CBE9063,NY,PAS,12/22/2016,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1007A,,BX,,,SB SOUTHERN BLVD @ E,187TH ST,0,1180,B,T,,,,TN,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
36,8162054819,EW866X,NJ,PAS,01/29/2017,68,4DSD,NISSA,T,21130,93250,42730,88888888,84.0,84,84,359609,T301,S,1043A,,K,O,402,Bridge St,,0,408,a1,,,,,SILVE,,0,,0,05,68-Not Pkg. Comp. w Psted Sign,,,
37,8506053195,25868MB,NY,COM,01/25/2017,51,VAN,FORD,T,16135,0,0,20180531,1.0,1,1,364011,T105,D,0204P,,NY,I,W,Cortlandt Aly,50ft N/of White St,0,408,e3,,YYYYYYY,,,BL,,2012,,0,042,51-Sidewalk,,,
38,4628491689,353XXL,FL,PAS,12/20/2016,36,UT,JEEP,V,0,0,0,0,,0,0,0,,,1042A,,QN,,,NB FRANCIS LEWIS BLV,D @ 42ND RD,0,1180,B,T,,,,BLK,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
39,8534116519,CES6482,NY,PAS,06/12/2017,9,SUBN,TOYOT,T,69230,56830,0,20181228,81.0,81,81,348529,T301,Y,0853A,,K,X,,Park Ave,Locust St,0,408,e1,,YYYYYYY,,,RD,,2008,,0,SPCL,09-Blocking the Box,,,
40,8479417420,AT459E,NJ,PAS,04/13/2017,69,DELV,FRUEH,T,34510,10810,10910,88880088,14.0,14,14,357711,T106,O,1026A,,NY,F,342,W 37th St,,0,408,h1,,YYYYY,0600A,0700P,WHITE,,0,,0,G,69-Failure to Disp Muni Recpt,,,
41,4629806404,GSY2361,NY,PAS,01/23/2017,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,1047A,,QN,,,WB JAMAICA AVE @ 224,TH ST,0,1180,B,T,,,,GY,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
42,8522218316,EFJ1721,NY,PAS,05/17/2017,37,SUBN,HONDA,T,25390,18820,18830,20180121,19.0,19,19,365379,T103,H,1152A,1138A,NY,F,1307,Madison Ave,,0,408,h1,,Y,0800A,0700P,GY,,2008,127-3021,0,CC1,37-Expired Muni Meter,,,
43,8482374059,F96FBF,NJ,PAS,04/23/2017,14,4DSD,ME/BE,T,34470,10410,10510,88880088,14.0,14,14,355145,T106,J,1031A,,NY,F,53,W 35th St,,0,408,c,,YYYYYYY,,,WHITE,,0,,0,34,14-No Standing,,,
44,8523051284,SH3ZBAD,AL,PAS,03/11/2017,38,4DSD,DODGE,T,26670,40404,40404,20170788,44.0,44,44,356975,T201,X,0809A,,BX,F,,E 167th St,,0,408,h1,,YYYYYYY,,,BLACK,,0,,0,H,38-Failure to Display Muni Rec,,,
45,7813745231,GEL1890,NY,PAS,09/19/2016,16,SUBN,CHRYS,T,20890,20880,10510,20170312,1.0,1,1,333051,T105,H,1241P,,NY,F,91,Franklin St,,0,408,k2,,YYYYY,0700A,0700P,WHITE,,2015,,0,039,16A-No Std (Com Veh) Non-COM,,,
46,4628303630,BHV3783,NY,PAS,12/12/2016,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0952A,,QN,,,WB HILLSIDE AVE @ 23,1ST ST,0,1180,B,T,,,,BL,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
47,8431017041,76130JH,NY,COM,09/16/2016,21,DELV,FRUEH,T,35710,0,0,88888888,24.0,24,24,362545,T103,L,1206P,,NY,I,S,W 97th St,130ft E/of Amsterdam,0,408,d1,,Y  Y,1130A,0100P,WHITE,,2007,,0,CC1,21-No Parking (street clean),,,
48,8263642668,HEA6308,NY,PAS,02/16/2017,71,SUBN,JEEP,T,13630,52730,39830,20180119,75.0,75,75,362231,T301,I,0405P,,K,F,62,Autumn Ave,,0,408,j6,,YYYYYYY,,,GY,,2016,,0,K,71A-Insp Sticker Expired (NYS),,,
49,8515215408,HFB1731,NY,PAS,04/14/2017,20,SUBN,CADIL,T,10210,18670,18690,20180331,19.0,19,19,356258,T103,F,0921A,,NY,O,1503,3rd Ave,,0,408,d,,YYYYYYY,,,BK,,2016,,0,23,20A-No Parking (Non-COM),,,
50,1416527722,AHG9422,NY,PAS,01/05/2017,27,SUBN,TOYOT,P,11620,12550,11130,20170903,45.0,45,45,0,0045,0000,0149P,,BX,F,300,BAYCHESTER AV,,0,408,J6,,BBBBBBB,ALL,ALL,RED,0.0,2001,-,0,,,,,
51,7411972721,EWL8888,NY,PAS,12/01/2016,20,SUBN,NISSA,T,0,0,0,20180122,52.0,52,52,358860,T801,A,0255A,,BX,I,E,Father Zeiser Pl,10ft N/of Webb Ave,0,408,d,,YYYYYYY,,,BK,,2010,,0,K 21,20A-No Parking (Non-COM),,,
52,8532505170,HAZ7926,NY,PAS,04/15/2017,38,4DSD,INFIN,T,10110,17630,17650,20170831,17.0,17,17,340043,T800,A2,0936P,,NY,O,585,2nd Ave,,0,408,h1,,Y,0830A,1000P,GY,,2015,,0,A,38-Failure to Display Muni Rec,,,
53,8558750191,GSH2040,NY,PAS,04/20/2017,46,4DSD,ACURA,T,8590,6740,7190,20180803,114.0,114,114,363993,T401,N,0414P,,Q,O,21-10,35th Ave,,0,408,f1,,YYYYYYY,,,WH,,2009,,0,J-PM,46A-Double Parking (Non-COM),,,
54,8486910511,GXC5916,NY,PAS,02/13/2017,71,4DSD,HONDA,T,8790,0,0,20171016,114.0,114,114,355544,T401,M,0820A,,Q,I,W,37th Ave,10ft N/of 21st St,0,408,j6,,YYYYYYY,,,GY,,2004,,0,V,71A-Insp Sticker Expired (NYS),,,
55,7536344478,HAL6563,NY,PAS,10/12/2016,38,SUBN,NISSA,T,54830,53970,50530,20170618,90.0,90,90,362225,T301,N,0958A,,K,F,114,Lee Ave,,0,408,h1,,YYYYY,0800A,0400P,GY,,2005,,0,14 3,38-Failure to Display Muni Rec,,,
56,8190539723,DKT8358,NY,PAS,09/08/2016,21,2DSD,NISSA,T,57490,35780,9640,20171017,114.0,114,114,363928,T401,C,0936A,,Q,F,40-07,Newtown Rd,,0,408,d1,,Y  Y,0930A,1100A,GY,,2006,,0,29 4,21-No Parking (street clean),,,
57,8446524806,GYG8911,NY,PAS,12/18/2016,24,SUBN,JEEP,T,29490,0,0,20170426,110.0,110,110,364876,T401,P,1204P,,Q,I,W,Baxter Ave,30ft S/of Layton St,0,408,d5,,YYYYYYY,,,BK,,2015,,0,15 4,24-No Parking (exc auth veh),,,
58,8063538547,26013KA,NY,COM,08/04/2016,38,VAN,FORD,T,15710,35510,35530,20171130,24.0,24,24,357094,T103,H,0300P,,NY,F,564,Columbus Ave,,0,408,h1,,YYYYY,1000A,0700P,WH,,2010,,0,42 7,38-Failure to Display Muni Rec,,,
59,7081935680,MLU536,SC,PAS,12/14/2016,38,SUBN,FORD,T,78150,25800,25830,20170688,44.0,44,44,361365,T201,H,1211P,,BX,F,266,Willis Ave,,0,408,h1,,Y,0800A,0700P,BLACK,,0,,0,59 2,38-Failure to Display Muni Rec,,,
60,8410006650,D53AUUN,NJ,PAS,10/21/2016,9,4DSD,LEXUS,T,17730,10210,0,88888888,17.0,17,17,353435,Manh,F,1005A,,NY,X,,E 37th St,3rd Ave,0,408,e1,,,,,BLACK,,0,,0,99 6,09-Blocking the Box,,,
61,7808333074,GWG6715,NY,PAS,11/09/2016,37,SUBN,DODGE,T,54050,34980,35030,20170303,61.0,61,61,363545,T302,I,0225P,0217P,K,F,551,Kings Hwy,,0,408,h1,,Y,0800A,0700P,BK,,2015,348-3002,0,03 3,37-Expired Muni Meter,,,
62,8034466670,83546JU,NY,COM,10/04/2016,38,VAN,FORD,T,29020,52120,21820,20180531,52.0,52,52,361387,T201,D,0929A,,BX,F,59,E Kingsbridge Rd,,0,408,h1,,Y,0900A,0700P,WH,,2006,,0,03 2,38-Failure to Display Muni Rec,,,
63,7059132030,HLC5085,NY,PAS,02/06/2017,31,4DSD,NISSA,T,34490,10610,10810,20181220,17.0,17,17,353405,T502,J,0208P,,NY,F,242A,W 36th St,,0,408,l3,,YYYYY,0600A,0700P,WH,,2015,,0,01,31-No Stand (Com. Mtr. Zone),,,
64,8518670070,96170MA,NY,COM,06/05/2017,50,VAN,FRUEH,T,0,0,0,88880088,34.0,34,34,359294,T103,L,0334P,,NY,I,N,W 173rd St,0ft E/of Haven Ave,0,408,e5,,YYYYYYY,,,BROWN,,2012,,0,L,50-Crosswalk,,,
65,8335524634,55219MA,NY,COM,10/22/2016,47,VAN,DODGE,T,34250,10510,10610,20161130,13.0,13,13,363131,Manh,M,1007A,,NY,F,133,W 24th St,,0,408,l2,,Y,0700A,0700P,WHITE,,2015,,0,16 6,47-Double PKG-Midtown,,,
66,7005104110,GYG7508,NY,PAS,09/01/2016,21,SUBN,GMC,T,66090,39390,52400,20170506,110.0,110,110,356236,T401,L,0845A,,Q,O,51-25,Van Kleeck St,,0,408,d1,,Y,0830A,1000A,BLACK,,2012,,0,L 41,21-No Parking (street clean),,,
67,8558610137,FBB5153,NY,PAS,06/03/2017,38,4DSD,NISSA,T,8440,7190,7300,20180502,114.0,114,114,365330,T401,V,1003A,,Q,F,24-26,34th Ave,,0,408,h1,,Y,0800A,0700P,GY,,2013,,0,G,38-Failure to Display Muni Rec,,,
68,8358531096,FGN4109,NY,PAS,11/14/2016,20,SUBN,CHRYS,T,29830,24230,33730,20161115,76.0,76,76,356956,T302,G,0304P,,K,F,262,Court St,,0,408,d,,Y,0800A,0600P,BL,,2014,,0,55 3,20A-No Parking (Non-COM),,,
69,7249114220,GPP7413,NY,PAS,10/08/2016,19,SUBN,HONDA,T,9430,42630,6180,20180623,72.0,72,72,361784,T302,J,0248P,,K,O,1006,57th St,,0,408,c3,,YYYYYYY,,,GY,,2010,,0,S 32,19-No Stand (bus stop),,,
70,8564313893,HMJ8126,NY,PAS,06/26/2017,40,SUBN,JEEP,T,58590,13540,42850,20190418,107.0,107,107,363074,T402,Y,0133P,,Q,F,65-12,Parsons Blvd,,0,408,e2,,YYYYYYY,,,RD,,2009,,6,T,40-Fire Hydrant,,,
71,1418809688,HKP7234,NY,PAS,02/10/2017,40,SDN,HONDA,P,36770,10810,13510,20180725,32.0,32,32,958723,0032,0000,0631P,,NY,O,308,W 150 ST,,0,408,F7,,BBBBBBB,ALL,ALL,BK,0.0,2016,-,0,,,,,
72,8552758799,HDB8092,NY,PAS,05/18/2017,21,SUBN,NISSA,T,61090,19740,20190,20171202,115.0,115,115,349562,T401,M,0812A,,Q,F,104-69,Roosevelt Ave,,0,408,d1,,Y  Y,0800A,0830A,WH,,2011,,0,K,21-No Parking (street clean),,,
73,1416140300,GYJ7561,NY,PAS,11/02/2016,21,SDN,TOYOT,S,9620,15620,20520,20170525,49.0,49,0,535013,BX11,0000,1140A,,BX,F,926,ASTOR AVE,,0,408,D1,,BBYBBBB,1130A,0100P,GRAY,0.0,2014,-,0,,,,,
74,4624353316,XW317E,NJ,PAS,09/28/2016,36,VAN,FORD,V,0,0,0,0,,0,0,0,,,0115P,,QN,,,EB HORACE HARDING EX,PRESSWAY @ PECK AVE,0,1180,B,T,,,,WT,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
75,8483275156,57309ME,NY,COM,06/07/2017,69,PICK,DODGE,T,17810,27790,24890,20180930,14.0,14,14,359628,T106,L,0914A,,NY,F,101,E 41st St,,0,408,h1,,Y,0700A,0700P,RD,,2014,,0,25,69-Failure to Disp Muni Recpt,,,
76,8330514596,HDK4072,NY,PAS,08/23/2016,21,SUBN,FORD,T,21640,51090,18040,20170730,102.0,102,102,362584,T402,M,0104P,,Q,F,87-15,125th St,,0,408,d1,,Y,1200A,0130A,BL,,2006,,0,J 42,21-No Parking (street clean),,,
77,4632953775,EXM3315,NY,PAS,04/25/2017,36,2DSD,HONDA,V,0,0,0,0,,0,0,0,,,1130A,,ST,,,SB MIDLAND AVE @ MAS,ON AVE,0,1180,B,T,,,,WH,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
78,8581153938,X89HVW,NJ,PAS,06/14/2017,21,4DSD,BMW,T,16590,7240,7790,88880088,115.0,115,115,359317,T401,L,1156A,,Q,F,25-37,80th St,,0,408,d1,,Y,1130A,0100P,BLACK,,0,,0,F,21-No Parking (street clean),,,
79,4007124590,T715907C,NY,OMT,04/03/2017,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0926A,,MN,,,NB 1ST AVE @ E 23RD,ST,0,1111,C,T,,,,BK,,2016,,0,,BUS LANE VIOLATION,,,
80,8170080708,HHC5057,NY,PAS,01/14/2017,38,4DSD,TOYOT,T,54050,35330,35380,20180517,61.0,61,61,362196,T302,G,0125P,,K,F,1208,Kings Hwy,,0,408,h1,,Y,0830A,0700P,BL,,2009,,0,03,38-Failure to Display Muni Rec,,,
81,8485652319,0480PRA,MN,PAS,01/26/2017,19,DELV,FRUEH,T,34570,10810,10910,20170288,14.0,14,14,345063,T106,D,0758A,,NY,F,300,W 40th St,,0,408,c3,,YYYYYYY,,,WHITE,,0,,0,99,19-No Stand (bus stop),,,
82,7640787490,GTS6000,NY,PAS,10/20/2016,38,SUBN,HONDA,T,15940,0,0,20161015,112.0,112,112,363124,Quee,H,0257P,,Q,I,E,76th Rd,30ft S/of Queens Blv,0,408,h1,,Y,0830A,0700P,BL,,2007,,0,09 4,38-Failure to Display Muni Rec,,,
83,1418609274,8P82H,NY,OMT,12/21/2016,14,TAXI,NISSA,P,0,0,0,20170228,18.0,18,405,926685,0405,0000,1015A,,NY,O,,W/S 6 AVE,S/O 53 STREET,0,408,C,,BBBBBBB,ALL,ALL,YELLO,0.0,2014,-,0,,,,,
84,8536008374,FAD5808,NY,PAS,05/17/2017,20,SUBN,JEEP,T,73220,48830,27530,20180616,84.0,84,84,361034,T301,P,0219P,,K,F,117,Remsen St,,0,408,d,,YYYYYYY,,,GR,,2013,,0,01,20A-No Parking (Non-COM),,,
85,4006943052,2AE3984,MD,PAS,02/01/2017,5,SW,LINCO,V,0,0,0,0,,0,0,0,,,0549P,,BK,,,SB UTICA AVE @ WINTH,ROP ST,0,1111,C,T,,,,,,2007,,0,,BUS LANE VIOLATION,,,
86,8482331425,86609MB,NY,COM,06/18/2017,13,VAN,CHEVR,T,10510,34850,34870,88880088,14.0,14,14,363029,T106,O,0940A,,NY,F,1350,6th Ave,,0,408,c2,,YYYYYYY,,,WHITE,,2011,,0,10,13-No Stand (taxi stand),,,
87,7755149869,GPK7120,NY,PAS,10/13/2016,37,4DSD,INFIN,T,29750,40404,40404,20180509,111.0,111,111,356248,T803,BB,0955P,0947P,Q,I,,Bayside Lot,,0,408,h1,,Y,0700A,1000P,BK,,2011,492-3004,0,G 42,37-Expired Muni Meter,,,
88,8237524573,CMD1897,NY,PAS,10/19/2016,21,4DSD,FORD,T,54690,0,0,20170829,107.0,107,107,361821,T402,C,1115A,,Q,I,E,Manton St,70ft S/of 83rd Ave,0,408,d1,,Y,1030A,1200A,GY,,2016,,0,11 4,21-No Parking (street clean),,,
89,4628920278,FXX8143,NY,PAS,01/03/2017,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1133A,,QN,,,WB UNION TRPK @ 213T,H ST,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
90,5092750364,DPH8955,NY,PAS,07/27/2016,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0732P,,BK,,,ATLANTIC AVE (E/B) @,LOGAN ST,0,1111,D,T,,,,BL,,2009,,0,,FAILURE TO STOP AT RED LIGHT,,,
91,8504710749,AB157N,NJ,PAS,03/03/2017,46,DELV,FRUEH,T,15350,24750,10510,88880088,1.0,1,1,346183,T105,H,1105A,,NY,F,249,Church St,,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,027,46B-Double Parking (Com-100Ft),,,
92,1418138575,GML6346,NY,PAS,12/19/2016,21,SDN,HONDA,S,10430,6680,64730,20160126,62.0,62,0,981230,KN11,0000,1212P,,K,F,1623,77 ST,,0,408,D1,,YBBBBBB,1130A,0100A,GREY,0.0,2013,-,0,,,,,
93,8177030073,FPN6798,NY,PAS,07/22/2016,21,SUBN,HONDA,T,6280,25730,8380,20170915,66.0,66,66,356958,T302,A,0943A,,K,F,3533,12th Ave,,0,408,d1,,Y,0930A,1100A,GY,,2011,,0,01 3,21-No Parking (street clean),,,
94,8261064578,GSM5317,NY,PAS,11/14/2016,37,4DSD,KIA,T,18040,23290,23490,20180719,103.0,103,103,363566,T402,H,0411P,0346P,Q,O,152-11,89th Ave,,0,408,h1,,Y,0900A,0700P,BR,,2015,408-1899,0,14 4,37-Expired Muni Meter,,,
